GridCell,μ,ϕ,ξ,BIC,BIC_ind,BIC_diff
33632,49.39088353775231,2.4936018665121678,0.12870386747051688,326.13315585262137,332.074801069891,-5.941645217269638
20197,43.864240445005024,2.4329542282988403,-0.03700839581737568,403.44173917209787,409.36904560051164,-5.927306428413772
18645,47.56643398905161,2.5228247970554762,0.05297830032368498,608.5062788078877,619.1970809809791,-10.690802173091356
19620,38.6082476236232,2.5676039347771558,0.059750505103435145,470.26922846847214,891.256729612799,-420.9875011443268
19619,40.24305078080009,2.3169725861588066,0.1626911245138582,763.8715676888638,327.25137475779,436.6201929310738
19813,38.413307183776936,2.271404878887261,0.11974783527066402,435.51088589218557,383.6858338953821,51.825051996803495
19814,39.14025334291749,2.046986636508263,0.07274387496434553,281.9396558711006,202.19061895619708,79.74903691490354
19621,39.62569462788884,2.391012884002154,0.12252164612439309,260.86791141502965,431.9159030317415,-171.04799161671184
28003,52.71172696738731,2.7103866211218777,0.047358888829394666,660.2968255967339,672.0430788265838,-11.746253229849913
28002,54.85393531358997,2.6729774534877127,-0.4323716062665859,461.10722942292136,539.3660229355054,-78.25879351258402
25464,44.806046537480405,2.5209609319287107,-0.06077029280846569,377.146386450186,301.09961585948724,76.04677059069877
28572,42.40667863592773,2.19789124107327,0.08783005502689858,254.98073015339156,259.76647145310574,-4.785741299714175
26047,45.38587924186721,2.46827935590733,0.07159201551325506,527.8175059009727,540.6750107588222,-12.857504857849449
27434,39.8447372293533,2.4266774212315125,0.03036290234322753,495.0445384882961,499.076321808231,-4.0317833199349025
